"","rank1","best.of.the.rest","fraction"
"1",0.99980095078683,0.999829272875084,99.9972
"2",0.964617770556691,0.940396223505779,102.5757
"3",0.958907350469277,0.859952972284894,111.507
"4",0.944863202687108,0.950476537256841,99.4094
"5",0.659218612818262,0.683187006145742,96.4917
"6",0.991973038105419,0.992543804018917,99.9425
"7",0.891797667342799,0.886164110040568,100.6357
"8",0.926391168641192,0.925512104575705,100.095
"9",0.77931,0.780107976190476,99.8977
"10",0.825490671641791,0.825345149253731,100.0176
"11",0.936653845742445,0.893148806815949,104.871
"12",0.892375324488971,0.909287559190702,98.1401
"13",0.87294259333601,0.87542858371771,99.716
"14",0.895625,0.902638888888889,99.223
"15",0.857787093495935,0.844067581300813,101.6254
"16",0.999110857487766,0.999189482583726,99.9921
"17",0.98042328042328,0.969409171075838,101.1362
"18",0.994466666666667,0.996666666666667,99.7793
"19",0.999143144587754,0.999254776122858,99.9888
"20",0.95945945945946,0.954391891891892,100.531
"21",0.928978344036609,0.89825003486551,103.4209
"22",0.768023078650437,0.763534738658682,100.5878
"23",0.995126153307971,0.999360597315143,99.5763
"24",0.997426864766599,0.9974519267798,99.9975
"25",0.934986532924677,0.914344757128262,102.2575
"26",0.996100997624064,0.986538453012639,100.9693
"27",0.930474133435501,0.931468758121232,99.8932
"28",0.989460718744427,0.989661360799001,99.9797
"29",0.999620650953984,0.99962177328844,99.9999
"30",0.967153099842839,0.966780130478409,100.0386
"31",0.997554716280793,0.814719908012007,122.4414
